,SI,SD,SR,SC,II,ID,IR,IC,MI,MD,MR,MC,QI,QD,QR,QC
10000,130,360,330,130,0,400,200,0,0,0,0,0,0,20,0,90
20000,530,1450,1390,530,0,1640,810,0,0,0,0,0,0,90,0,380
30000,1190,3260,3170,1190,0,3690,1860,0,0,0,0,0,0,210,0,850
40000,2130,5780,5710,2130,0,6310,3370,0,0,0,10,0,0,380,10,1520
50000,3320,9090,8980,3320,0,9860,5200,0,0,0,10,0,0,590,10,2380
60000,4790,13000,12970,4780,0,14450,7270,0,0,0,10,0,0,860,0,3420
70000,6520,17680,17710,6510,0,19850,10430,0,10,10,10,10,0,1160,10,4670
80000,8510,23210,23210,8510,0,26090,12770,0,10,10,10,10,0,1520,10,6100
90000,10770,29390,29490,10760,0,32670,16910,0,10,10,20,10,0,1920,10,7700
100000,13290,36330,36430,13290,0,40470,21230,0,10,10,20,10,0,2380,20,9510
